group,vis_type,value
A,UT,253.67
A,UT,332.12
A,UT,201.82
A,UT,278.23
A,UT,214.6
A,UT,213.35
A,UT,361.15
A,UT,457.73
A,UT,393.47
A,UT,226.65
B,UT,233.07
B,UT,184.71
B,UT,189.66
B,UT,323
B,UT,403.67
B,UT,225.83
B,UT,335.26
B,UT,275.54
B,UT,359.87
B,UT,179.25
C,UT,155.68
C,UT,272.72
C,UT,495.6
C,UT,326.85
C,UT,451.14
C,UT,200.11
C,UT,155.83
C,UT,239.58
C,UT,223.67
C,UT,144.37
D,UT,348.89
D,UT,277.39
D,UT,477.15
D,UT,437.82
D,UT,367.75
D,UT,358.61
D,UT,683.19
D,UT,143.44
D,UT,232.06
D,UT,456.46
A,NT,180.33
A,NT,268.83
A,NT,159.03
A,NT,193.5
A,NT,147.32
A,NT,209.25
A,NT,265.11
A,NT,250.69
A,NT,235.61
A,NT,237.11
B,NT,159.42
B,NT,177.25
B,NT,164.16
B,NT,357.69
B,NT,257.42
B,NT,165.76
B,NT,493.06
B,NT,367.73
B,NT,427.91
B,NT,181
C,NT,370.49
C,NT,506.56
C,NT,465.11
C,NT,430.84
C,NT,349.32
C,NT,437.46
C,NT,282.89
C,NT,224.6
C,NT,372.67
C,NT,211.99
D,NT,42.62
D,NT,168.31
D,NT,296.75
D,NT,290.41
D,NT,207.21
D,NT,296.56
D,NT,242.8
D,NT,278.7
D,NT,231.81
D,NT,305.8
A,ML,499.05
A,ML,655.34
A,ML,269.9
A,ML,238.76
A,ML,439.22
A,ML,249.63
A,ML,449.43
A,ML,617.85
A,ML,327.24
A,ML,138.14
B,ML,211.39
B,ML,301.01
B,ML,355.61
B,ML,463.44
B,ML,250.64
B,ML,286.3
B,ML,471.94
B,ML,219.16
B,ML,529.56
B,ML,193.25
C,ML,225.71
C,ML,395.33
C,ML,242.4
C,ML,278.83
C,ML,520.66
C,ML,194.51
C,ML,165.1
C,ML,214.17
C,ML,240.52
C,ML,230.71
D,ML,285.22
D,ML,245.94
D,ML,413.98
D,ML,352.88
D,ML,258.79
D,ML,530.81
D,ML,518.57
D,ML,690.45
D,ML,453.05
D,ML,440.35
